400,"Curva 110 Sem Boracha",,,,0,0,17,,"un",,,,,,,,,,,,,,,,,
401,"Curva 3/4",,,,0,0,44,,"un",,,,,,,,,,,,,,,,,
402,"Curva 50",,,,0,0,73,,"un",,,,,,,,,,,,,,,,,
403,"Curva 50 Com Bujao",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
404,"Curva 75",,,,0,0,13,,"un",,,,,,,,,,,,,,,,,
405,"Curva Aperto rapido",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
406,"Curva Vd 20/16 Union-16.82",,,,0,0,157,,"un",,,,,,,,,,,,,,,,,
407,"Diluinte 750ml",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
408,"Disco De Corte P Forte Original",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
409,"Disco De Corte Ps Forte Chines",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
410,"Disco De Corte Ps Forte Medio",,,,0,0,54,,"un",,,,,,,,,,,,,,,,,
411,"Disco De Corte Psf Pequeno",,,,0,0,29,,"un",,,,,,,,,,,,,,,,,
412,"Disco De Limar",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
413,"Disco De Madeira",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
414,"Disco Diamante Grande",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
415,"Disco Diamante Medio",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
416,"Disco Diamante Pequeno",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
417,"Disjuntor Hager Duplo",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
418,"Disjuntor Hager Simples",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
419,"Disjuntor Kaxix Duplo",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
420,"Disjuntor Kaxix Simples",,,,0,0,39,,"un",,,,,,,,,,,,,,,,,
421,"Disjuntor LeGrand Duplo",,,,0,0,16,,"un",,,,,,,,,,,,,,,,,
422,"Disjuntor LeGrand Simples",,,,0,0,27,,"un",,,,,,,,,,,,,,,,,
423,"Disjuntor Triplo",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
424,"Dobradissa  2 Polegadas",,,,0,0,11.5,,"un",,,,,,,,,,,,,,,,,
425,"Dobradissa  3 Polegadas",,,,0,0,43,,"un",,,,,,,,,,,,,,,,,
426,"Dobradissa 4 Polegadas",,,,0,0,53,,"un",,,,,,,,,,,,,,,,,
427,"Dobradissa Borboleta",,,,0,0,22,,"un",,,,,,,,,,,,,,,,,
428,"Dobradissa De Portao N 16",,,,0,0,58.5,,"un",,,,,,,,,,,,,,,,,
429,"Dobradissa De Portao N 18",,,,0,0,22,,"un",,,,,,,,,,,,,,,,,
430,"Dobradissa De Portao N 20",,,,0,0,27.5,,"un",,,,,,,,,,,,,,,,,
431,"Dobradissa Oxford GR",,,,0,0,19.5,,"un",,,,,,,,,,,,,,,,,
432,"Dobradissa Oxford Peq",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
433,"Dobradissa Sul Africana",,,,0,0,87,,"un",,,,,,,,,,,,,,,,,
434,"Electrol Avulso",,,,0,0,1102,,"un",,,,,,,,,,,,,,,,,
435,"Electrol China",,,,0,0,23,,"un",,,,,,,,,,,,,,,,,
436,"Electrol de Afrox",,,,0,0,280,,"un",,,,,,,,,,,,,,,,,
437,"Electrol De Terra",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
438,"Electrol Promax",,,,0,0,15.5,,"un",,,,,,,,,,,,,,,,,
439,"Enxada",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
440,"Escova De Aco",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
441,"Espirito",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
442,"Esponja de pedreiro",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
443,"Espuma",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
444,"Esquadro 20cm",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
445,"Esquadro 30cm",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
446,"Esquadro 60cm",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
447,"Estabilizador",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
448,"Estante De Toalha",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
449,"Estribos 10",,,,0,0,711,,"un",,,,,,,,,,,,,,,,,
450,"Extensao Com Fio Chines 3 Bocas",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
451,"Extensao Com Fio Chines 4 Bocas",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
452,"Extensao Com Fio Chines 5 Bocas",,,,0,0,14,,"un",,,,,,,,,,,,,,,,,
453,"Extensao Com Fio chines 6 Bocas",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
454,"Extensao Ingelec Com Fio 3 Bocas",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
455,"Extensao Ingelec Com Fio 4 Bocas",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
456,"Extensao Ingelec Com Fio 5 Bocas",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
457,"Extensao Sem Fio 3 Bocas",,,,0,0,11,,"un",,,,,,,,,,,,,,,,,
458,"Extensao Sem Fio 4 Bocas",,,,0,0,20,,"un",,,,,,,,,,,,,,,,,
459,"Extensao Sem Fio 5 Bocas",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
460,"Fechadura Amarela",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
461,"Fechadura Bandeira",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
462,"Fechadura De Cozinha",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
463,"Fechadura De Gaveta",,,,0,0,12,,"un",,,,,,,,,,,,,,,,,
464,"Fechadura Ei",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
465,"Fechadura Elefante Grande",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
466,"Fechadura FNK",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
467,"Fechadura Godirgi",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
468,"Fechadura Lincy Grande",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
469,"Fechadura Lincy peq",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
470,"Fechadura Maq",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
471,"Fechadura Master",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
472,"Fechadura Micc",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
473,"Fechadura Pluto",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
474,"Fechadura Preta",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
475,"Fechadura Renz Peq",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
476,"Fechadura Universal P",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
477,"Fechadura Yale",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
478,"Fechadura Yale Com Pega",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
479,"Ferro De Estanhar",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
480,"Ficha Branca",,,,0,0,38,,"un",,,,,,,,,,,,,,,,,
481,"Ficha Preta",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
482,"Fio Chines PBC 2.5",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
483,"Fio Chines PBT 1.5",,,,0,0,32,,"un",,,,,,,,,,,,,,,,,
484,"Fio Chines PBT 2.5",,,,0,0,116,,"un",,,,,,,,,,,,,,,,,
485,"Fio De Coluna",,,,0,0,101,,"un",,,,,,,,,,,,,,,,,
486,"Fio De Extensor Plc",,,,0,0,94,,"un",,,,,,,,,,,,,,,,,
487,"FIO de Pedreiro",,,,0,0,17,,"un",,,,,,,,,,,,,,,,,
488,"FIO PBC Original 1.5",,,,0,0,16,,"un",,,,,,,,,,,,,,,,,
489,"Fio PBC Original 2.5",,,,0,0,41,,"un",,,,,,,,,,,,,,,,,
490,"Fio PBMR",,,,0,0,13,,"un",,,,,,,,,,,,,,,,,
491,"Fio PBT original 1.5",,,,0,0,90,,"un",,,,,,,,,,,,,,,,,
492,"Fio PBT Original 2.5",,,,0,0,425,,"un",,,,,,,,,,,,,,,,,
493,"Fita Cola",,,,0,0,24,,"un",,,,,,,,,,,,,,,,,
494,"Fita De Parede",,,,0,0,7,,"un",,,,,,,,,,,,,,,,,
495,"Fita isoladora",,,,0,0,47,,"un",,,,,,,,,,,,,,,,,
496,"Fita Metrica 10m",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
497,"Fita Metrica 30m",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
498,"Fita Metrica 3m",,,,0,0,20,,"un",,,,,,,,,,,,,,,,,
499,"Fita Metrica 50m",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
500,"Fita Metrica 5m",,,,0,0,18,,"un",,,,,,,,,,,,,,,,,
501,"Fita Metrica 7.5m",,,,0,0,28,,"un",,,,,,,,,,,,,,,,,
502,"Fita Taflon",,,,0,0,83,,"un",,,,,,,,,,,,,,,,,
503,"Fita Taflon Matt",,,,0,0,30,,"un",,,,,,,,,,,,,,,,,
504,"Flat Kote 20lt",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
505,"Fogao A Gas 2 bocas grande",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
506,"Fogao Electrico Duas Bocas",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
507,"Fogao Electrico Uma Boca",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
508,"Folha De Cerra",,,,0,0,41,,"un",,,,,,,,,,,,,,,,,
509,"Formao",,,,0,0,26,,"un",,,,,,,,,,,,,,,,,
510,"Kit De Sanita",,,,0,0,8,,"un",,,,,,,,,,,,,,,,,
511,"Kuxa Com Esponja",,,,0,0,4,,"un",,,,,,,,,,,,,,,,,
512,"Kuxa Kuxa Grande",,,,0,0,10,,"un",,,,,,,,,,,,,,,,,
513,"Kuxa Kuxa Medio",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
514,"Kuxa Kuxa Pequeno",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
515,"Lampada 105 WTS",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
516,"Lampada 7wts",,,,0,0,16,,"un",,,,,,,,,,,,,,,,,
517,"Lampada 85w",,,,0,0,9,,"un",,,,,,,,,,,,,,,,,
518,"Lampada Acumulador 12WTS",,,,0,0,36,,"un",,,,,,,,,,,,,,,,,
519,"Lampada Acumulador 15WTS",,,,0,0,51,,"un",,,,,,,,,,,,,,,,,
520,"Lampada Acumulador 7WTS",,,,0,0,40,,"un",,,,,,,,,,,,,,,,,
521,"Lampada Acumulador 9WTS",,,,0,0,36,,"un",,,,,,,,,,,,,,,,,
522,"Lampada De Placa 3w",,,,0,0,3,,"un",,,,,,,,,,,,,,,,,
523,"Lampada De Placa 6w",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
524,"Lampada De Placa 9w",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
525,"Lampada Euro",,,,0,0,32,,"un",,,,,,,,,,,,,,,,,
526,"Lampada Flood Light 100 W",,,,0,0,1,,"un",,,,,,,,,,,,,,,,,
527,"Lampada Flood Light 150 W",,,,0,0,2,,"un",,,,,,,,,,,,,,,,,
528,"Lampada LED 13 W",,,,0,0,6,,"un",,,,,,,,,,,,,,,,,
529,"Lampada LED 18 W",,,,0,0,56,,"un",,,,,,,,,,,,,,,,,
530,"Lampada LED 28W",,,,0,0,20,,"un",,,,,,,,,,,,,,,,,
531,"Lampada LED 38 W",,,,0,0,5,,"un",,,,,,,,,,,,,,,,,
532,"Lampada LED 5W",,,,0,0,27,,"un",,,,,,,,,,,,,,,,,
533,"Lampada LED 9w",,,,0,0,45,,"un",,,,,,,,,,,,,,,,,
534,"Lampada Philips Grande",,,,0,0,15,,"un",,,,,,,,,,,,,,,,,
535,"Lampada Philips Pequeno",,,,0,0,17,,"un",,,,,,,,,,,,,,,,,
